window,model,target,n_slates,recall@5,ndcg@5,hitrate@5,recall@10,ndcg@10,hitrate@10,recall@20,ndcg@20,hitrate@20,mrr,map@10,coverage_catalogue,diversite,nouveaute,concentration_top10,train_seconds,peak_memory_mb
1,popularite_globale_v1,purchased_after,7133,0.020328052712743586,0.011673816084170494,0.020328052712743586,0.020328052712743586,0.011673816084170494,0.020328052712743586,0.020328052712743586,0.011673816084170494,0.020328052712743586,0.008864900228982661,0.00885789055563344,0.14423076923076922,0.004205804009533156,4.296718115509516,0.9650918267208748,0.0,30.532
1,popularite_recente,purchased_after,7133,0.020328052712743586,0.013145072803607561,0.020328052712743586,0.020328052712743586,0.013145072803607561,0.020328052712743586,0.020328052712743586,0.013145072803607561,0.020328052712743586,0.010862657133510914,0.01079022384223562,0.25,0.007290060283190803,6.179860415817916,0.929342492639843,0.0,30.532
1,popularite_categorie,purchased_after,7133,0.020328052712743586,0.012028279772699211,0.020328052712743586,0.020328052712743586,0.012028279772699211,0.020328052712743586,0.020328052712743586,0.012028279772699211,0.020328052712743586,0.00931585588111594,0.009320528996682087,0.21634615384615385,0.006308706014299734,7.106045279619449,0.9439226132062246,0.0103,30.532
1,cooccurrence,purchased_after,7133,0.020328052712743586,0.011984918278837643,0.020328052712743586,0.020328052712743586,0.011984918278837643,0.020328052712743586,0.020328052712743586,0.011984918278837643,0.020328052712743586,0.00933454834338053,0.009269124725454462,0.35096153846153844,0.010234123089864012,4.933141501705842,0.8955558670965933,1.4321,30.532
1,hybride_popularite_affinite,purchased_after,7133,0.020328052712743586,0.01230383118113733,0.020328052712743586,0.020328052712743586,0.01230383118113733,0.020328052712743586,0.020328052712743586,0.01230383118113733,0.020328052712743586,0.009671012664143185,0.009687368568624701,0.14903846153846154,0.004345997476517594,4.446457645122326,0.9384550679938315,0.0,30.532
1,LightGBM_LambdaRank,purchased_after,7133,0.020328052712743586,0.013425522367108974,0.020328052712743586,0.020328052712743586,0.013425522367108974,0.020328052712743586,0.020328052712743586,0.013425522367108974,0.020328052712743586,0.011152390298612085,0.011129024720781344,0.40384615384615385,0.011776251226692836,7.628937895215651,0.8098976587691014,0.9755,30.532
1,CatBoostRanker,purchased_after,7133,0.020328052712743586,0.013671775790807094,0.020328052712743586,0.020328052712743586,0.013671775790807094,0.020328052712743586,0.020328052712743586,0.013671775790807094,0.020328052712743586,0.011481844946025516,0.011463152483760923,0.4230769230769231,0.01233702509463059,7.1578252870585635,0.7770923874947427,8.6148,30.532
1,XGBoost_Ranker,purchased_after,7133,0.020328052712743586,0.013697496485370147,0.020328052712743586,0.020328052712743586,0.013697496485370147,0.020328052712743586,0.020328052712743586,0.013697496485370147,0.020328052712743586,0.01152623954390392,0.01150287396607318,0.3942307692307692,0.01149586429272396,7.321145343354756,0.8358334501612225,1.6533,30.532
1,pointwise_conversion,purchased_after,7133,0.020328052712743586,0.013453278429695186,0.020328052712743586,0.020328052712743586,0.013453278429695186,0.020328052712743586,0.020328052712743586,0.013453278429695186,0.020328052712743586,0.011182765549792046,0.011147717183045936,0.40384615384615385,0.011776251226692836,7.974097655457341,0.7999439226132062,0.6606,30.532
1,RRF,purchased_after,7133,0.020328052712743586,0.012217944107892712,0.020328052712743586,0.020328052712743586,0.012217944107892712,0.020328052712743586,0.020328052712743586,0.012217944107892712,0.020328052712743586,0.009593906257301743,0.00958689658395252,0.2692307692307692,0.007850834151128557,4.586613685881461,0.9282209449039674,0.0,30.532
2,popularite_globale_v1,purchased_after,8220,0.022019464720194646,0.012838810406285693,0.022019464720194646,0.022019464720194646,0.012838810406285693,0.022019464720194646,0.022019464720194646,0.012838810406285693,0.022019464720194646,0.009858069748580696,0.009858069748580698,0.15865384615384615,0.0040145985401459855,4.200264705389172,0.9396593673965937,0.0,46.66
2,popularite_recente,purchased_after,8220,0.022019464720194646,0.013540419833872355,0.022019464720194646,0.022019464720194646,0.013540419833872355,0.022019464720194646,0.022019464720194646,0.013540419833872355,0.022019464720194646,0.010764395782643956,0.01074817518248175,0.2644230769230769,0.006690997566909975,6.273421118775781,0.9054744525547446,0.0,46.66
2,popularite_categorie,purchased_after,8220,0.022019464720194646,0.013753618326984515,0.022019464720194646,0.022019464720194646,0.013753618326984515,0.022019464720194646,0.022019464720194646,0.013753618326984515,0.022019464720194646,0.011068532035685318,0.011041159772911598,0.20192307692307693,0.0051094890510948905,6.886029678488476,0.9295620437956205,0.0133,46.66
2,cooccurrence,purchased_after,8220,0.022019464720194646,0.012785914273651165,0.022019464720194646,0.022019464720194646,0.012785914273651165,0.022019464720194646,0.022019464720194646,0.012785914273651165,0.022019464720194646,0.00978507704785077,0.009795214922952147,0.34615384615384615,0.008759124087591242,4.5083130232863216,0.8603406326034063,1.9371,46.66
2,hybride_popularite_affinite,purchased_after,8220,0.022019464720194646,0.013499194233227834,0.022019464720194646,0.022019464720194646,0.013499194233227834,0.022019464720194646,0.022019464720194646,0.013499194233227834,0.022019464720194646,0.010719789132197892,0.010719789132197892,0.16346153846153846,0.00413625304136253,4.319108654189482,0.9021897810218978,0.0,46.66
2,LightGBM_LambdaRank,purchased_after,8220,0.022019464720194646,0.013623934034183443,0.022019464720194646,0.022019464720194646,0.013623934034183443,0.022019464720194646,0.022019464720194646,0.013623934034183443,0.022019464720194646,0.010900243309002432,0.010833333333333334,0.42788461538461536,0.010827250608272505,8.72347965945129,0.7545012165450121,1.3482,46.66
2,CatBoostRanker,purchased_after,8220,0.022019464720194646,0.013864776869203229,0.022019464720194646,0.022019464720194646,0.013864776869203229,0.022019464720194646,0.022019464720194646,0.013864776869203229,0.022019464720194646,0.011186131386861314,0.011195255474452553,0.40865384615384615,0.010340632603406326,6.683361647928711,0.7563260340632604,14.4631,46.66
2,XGBoost_Ranker,purchased_after,8220,0.022019464720194646,0.013975879320905294,0.022019464720194646,0.022019464720194646,0.013975879320905294,0.022019464720194646,0.022019464720194646,0.013975879320905294,0.022019464720194646,0.011380778588807785,0.011303730738037306,0.4182692307692308,0.010583941605839416,9.093884254004914,0.6862530413625304,2.4219,46.66
