window,model,target,n_slates,recall@5,ndcg@5,hitrate@5,recall@10,ndcg@10,hitrate@10,recall@20,ndcg@20,hitrate@20,mrr,map@10,coverage_catalogue,diversite,nouveaute,concentration_top10,train_seconds,peak_memory_mb
1,popularite_globale_v1,added_to_cart_after,7133,0.02299172858544792,0.013349241209520541,0.02299172858544792,0.02299172858544792,0.013349241209520541,0.02299172858544792,0.02299172858544792,0.013349241209520541,0.02299172858544792,0.010217767185382493,0.010210757512033273,0.14423076923076922,0.004205804009533156,4.296718115509516,0.9650918267208748,0.0,30.533
1,popularite_recente,added_to_cart_after,7133,0.02299172858544792,0.014732045699380787,0.02299172858544792,0.02299172858544792,0.014732045699380787,0.02299172858544792,0.02299172858544792,0.014732045699380787,0.02299172858544792,0.012098696200757045,0.012026262909481751,0.25,0.007290060283190803,6.179860415817916,0.929342492639843,0.0,30.533
1,popularite_categorie,added_to_cart_after,7133,0.02299172858544792,0.013673061794831935,0.02299172858544792,0.02299172858544792,0.013673061794831935,0.02299172858544792,0.02299172858544792,0.013673061794831935,0.02299172858544792,0.010631337912986587,0.010636011028552736,0.21634615384615385,0.006308706014299734,7.106045279619449,0.9439226132062246,0.0102,30.533
1,cooccurrence,added_to_cart_after,7133,0.02299172858544792,0.013586671780594846,0.02299172858544792,0.02299172858544792,0.013586671780594846,0.02299172858544792,0.02299172858544792,0.013586671780594846,0.02299172858544792,0.010589279872891256,0.010523856254965184,0.35096153846153844,0.010234123089864012,4.933141501705842,0.8955558670965933,1.4876,30.533
1,hybride_popularite_affinite,added_to_cart_after,7133,0.02299172858544792,0.013942545314318175,0.02299172858544792,0.02299172858544792,0.013942545314318175,0.02299172858544792,0.02299172858544792,0.013942545314318175,0.02299172858544792,0.010977148464881539,0.010993504369363055,0.14903846153846154,0.004345997476517594,4.446457645122326,0.9384550679938315,0.0,30.533
1,LightGBM_LambdaRank,added_to_cart_after,7133,0.02299172858544792,0.014992990529366456,0.02299172858544792,0.02299172858544792,0.014992990529366456,0.02299172858544792,0.02299172858544792,0.014992990529366456,0.02299172858544792,0.012334688536847514,0.012351044441329033,0.41346153846153844,0.012056638160661713,8.819391644520271,0.8523762792653863,1.1663,30.533
1,CatBoostRanker,added_to_cart_after,7133,0.02299172858544792,0.015209511462489438,0.02299172858544792,0.02299172858544792,0.015209511462489438,0.02299172858544792,0.02299172858544792,0.015209511462489438,0.02299172858544792,0.012610402355250246,0.012645450721996354,0.4182692307692308,0.012196831627646152,8.324236620202718,0.8216739099957941,8.838,30.533
1,XGBoost_Ranker,added_to_cart_after,7133,0.02299172858544792,0.015020288724117743,0.02299172858544792,0.02299172858544792,0.015020288724117743,0.02299172858544792,0.02299172858544792,0.015020288724117743,0.02299172858544792,0.0123720734613767,0.012395439039207439,0.39903846153846156,0.011636057759708397,8.041208147918475,0.8393382868358334,1.9385,30.533
1,pointwise_conversion,added_to_cart_after,7133,0.02299172858544792,0.014687918245540417,0.02299172858544792,0.02299172858544792,0.014687918245540417,0.02299172858544792,0.02299172858544792,0.014687918245540417,0.02299172858544792,0.011974858638254123,0.011951493060423384,0.3942307692307692,0.01149586429272396,8.066086745062025,0.8384971260339268,0.8092,30.533
1,RRF,added_to_cart_after,7133,0.02299172858544792,0.01396877751830641,0.02299172858544792,0.02299172858544792,0.01396877751830641,0.02299172858544792,0.02299172858544792,0.01396877751830641,0.02299172858544792,0.011051918313939903,0.011044908640590682,0.2692307692307692,0.007850834151128557,4.586613685881461,0.9282209449039674,0.0,30.533
