window,experiment_group,target,n_slates,recall@5,ndcg@5,hitrate@5,recall@10,ndcg@10,hitrate@10,recall@20,ndcg@20,hitrate@20,mrr,map@10
1,controle,added_to_cart_after,3594,0.021146355036171398,0.012108004139127958,0.021146355036171398,0.021146355036171398,0.012108004139127958,0.021146355036171398,0.021146355036171398,0.012108004139127958,0.021146355036171398,0.009223706176961602,0.009140233722871451
1,traitement,added_to_cart_after,3539,0.02486578129415089,0.01557115306978203,0.02486578129415089,0.02486578129415089,0.01557115306978203,0.02486578129415089,0.02486578129415089,0.01557115306978203,0.02486578129415089,0.012588301780163888,0.012517660356032776
2,controle,added_to_cart_after,4185,0.026523297491039426,0.015985274708871768,0.026523297491039426,0.026523297491039426,0.015985274708871768,0.026523297491039426,0.026523297491039426,0.015985274708871768,0.026523297491039426,0.012560732775786539,0.012548785344484269
2,traitement,added_to_cart_after,4035,0.025030978934324658,0.015579568819976334,0.025030978934324658,0.025030978934324658,0.015579568819976334,0.025030978934324658,0.025030978934324658,0.015579568819976334,0.025030978934324658,0.012494836844279223,0.012503097893432465
3,controle,added_to_cart_after,3919,0.022965042102577188,0.013768176789809596,0.022965042102577188,0.022965042102577188,0.013768176789809596,0.022965042102577188,0.022965042102577188,0.013768176789809596,0.022965042102577188,0.010853108786254997,0.010725525219018456
3,traitement,added_to_cart_after,3716,0.02045209903121636,0.01319714806913424,0.02045209903121636,0.02045209903121636,0.01319714806913424,0.02045209903121636,0.02045209903121636,0.01319714806913424,0.02045209903121636,0.010898815931108719,0.010764262648008612
4,controle,added_to_cart_after,4008,0.021956087824351298,0.013092337526909656,0.021956087824351298,0.021956087824351298,0.013092337526909656,0.021956087824351298,0.021956087824351298,0.013092337526909656,0.021956087824351298,0.010175482368596141,0.010196274118429806
4,traitement,added_to_cart_after,3926,0.01706571574121243,0.010224304298821298,0.01706571574121243,0.01706571574121243,0.010224304298821298,0.01706571574121243,0.01706571574121243,0.010224304298821298,0.01706571574121243,0.008014943114280863,0.008002207505518765
