window,model,target,segment_type,segment_value,wape_micro,mae,rmse,forecast_bias,n
1,baseline_moyenne_produit,margin_window_xof_7j,categorie,Alimentation & Epicerie,0.10405829353919974,473.1637333682324,1034.789360715886,-0.06757818578171658,39
1,baseline_moyenne_produit,margin_window_xof_7j,categorie,Bebe & Enfant,0.13949430353093287,3610.185643825249,6554.2504638328155,0.014354728342742411,42
1,baseline_moyenne_produit,margin_window_xof_7j,categorie,Electronique & High-Tech,0.13378856823470933,26345.915619357533,48899.90000113147,0.030171499473703633,42
1,baseline_moyenne_produit,margin_window_xof_7j,categorie,Mode & Vetements,0.11880638298518725,5575.843442457618,7978.899914738879,-0.004992690329565489,32
1,baseline_moyenne_produit,margin_window_xof_7j,categorie,Sport & Loisirs,0.17470729409838898,6312.801072277767,12136.467482899865,0.027063794388133135,29
1,baseline_moyenne_produit,margin_window_xof_7j,categorie,Telephonie & Accessoires,0.1996474075886327,24420.310909610507,44964.32872125227,0.0556399378879882,41
1,baseline_moyenne_produit,margin_window_xof_7j,classe_abc,A,0.14370775918981513,56337.979283773464,72510.74409848718,0.029156283266800555,33
1,baseline_moyenne_produit,margin_window_xof_7j,classe_abc,B,0.12135329768072016,9833.519087402221,12864.494301609666,0.023905332539374297,39
1,baseline_moyenne_produit,margin_window_xof_7j,classe_abc,C,0.3957077923846673,2592.680042029781,8675.935589872477,0.10006638756745861,153
1,baseline_moyenne_produit,margin_window_xof_7j,treatment_group,controle_0pct,0.12654138106079277,13964.560059599979,35982.33597339245,-0.07550760184110104,53
1,baseline_moyenne_produit,margin_window_xof_7j,treatment_group,traitement_10pct,0.14722573211901435,9569.108638321375,24953.18058091679,0.11977918375274889,59
1,baseline_moyenne_produit,margin_window_xof_7j,treatment_group,traitement_15pct,0.18207734458139543,9750.76567399182,22148.649234457018,0.003747086245293658,57
1,baseline_moyenne_produit,margin_window_xof_7j,treatment_group,traitement_5pct,0.1784868851751035,13907.997695829894,32226.563338728167,0.12006648946579396,56
1,baseline_mediane_produit,margin_window_xof_7j,categorie,Alimentation & Epicerie,0.0878694237525164,399.55128205128204,971.6549225221568,-0.07333213035068824,39
1,baseline_mediane_produit,margin_window_xof_7j,categorie,Bebe & Enfant,0.13420599421149568,3473.3214285714284,6367.256324445442,0.01177618396624783,42
1,baseline_mediane_produit,margin_window_xof_7j,categorie,Electronique & High-Tech,0.12452052268694704,24520.833333333332,47175.37027815417,0.029584226292132795,42
1,baseline_mediane_produit,margin_window_xof_7j,categorie,Mode & Vetements,0.11025415659562,5174.46875,8529.277817831355,-0.010772857114320529,32
1,baseline_mediane_produit,margin_window_xof_7j,categorie,Sport & Loisirs,0.1695179954841899,6125.293103448276,12302.401101845511,0.03427081881981994,29
1,baseline_mediane_produit,margin_window_xof_7j,categorie,Telephonie & Accessoires,0.17987579274596935,22001.90243902439,44922.58871034732,0.04820972262241015,41
1,baseline_mediane_produit,margin_window_xof_7j,classe_abc,A,0.14083969117515427,55213.606060606064,72529.87565907728,0.03650672232493332,33
1,baseline_mediane_produit,margin_window_xof_7j,classe_abc,B,0.1215196626600267,9847.0,13522.081405081135,0.029431811493633105,39
1,baseline_mediane_produit,margin_window_xof_7j,classe_abc,C,0.22998442825976576,1506.859477124183,5073.0973749269,-0.05917211411561793,153
1,baseline_mediane_produit,margin_window_xof_7j,treatment_group,controle_0pct,0.11151455217443562,12306.264150943396,33420.71780686967,-0.07289585595529789,53
1,baseline_mediane_produit,margin_window_xof_7j,treatment_group,traitement_10pct,0.1409940976965005,9164.07627118644,24689.589603391516,0.11938943468376494,59
1,baseline_mediane_produit,margin_window_xof_7j,treatment_group,traitement_15pct,0.17194024335351124,9207.894736842105,21763.535082753573,0.0032641946932921518,57
