domain,target,model,wape_macro,wape_std,mae,rmse,bias,wape_micro_pooled,recall@5_mean,recall@10_mean,recall@20_mean,ndcg@5_mean,ndcg@10_mean,ndcg@20_mean,hitrate@10_mean,mrr_mean,map@10_mean,coverage_catalogue_mean,diversite_mean,nouveaute_mean,concentration_top10_mean
pricing,units_sold_window_7j,baseline_mediane_produit,0.1342374899901472,0.0135004272593574,0.5657591710087512,1.0643553315978218,0.0054218886762344,0.1334103156274056,,,,,,,,,,,,,
pricing,units_sold_window_7j,baseline_moyenne_produit,0.1410670186314204,0.0106031563240246,0.5943248423770107,1.0431864944529794,0.0097778088215655,0.1402289003613644,,,,,,,,,,,,,
pricing,units_sold_window_7j,T_learner,0.1627631728983347,0.0086664649729903,0.6850239088009279,1.1680261871334623,0.0277282120327655,0.1618491835006385,,,,,,,,,,,,,
pricing,units_sold_window_7j,Ensemble_contraint,0.1700908568134704,0.0082682018925509,0.7157708427016266,1.2094306710796452,0.0439328674230957,0.1692255497346921,,,,,,,,,,,,,
pricing,units_sold_window_7j,Hurdle_zero_positif,0.1731215825381161,0.0097884157290289,0.7284938873781727,1.2295414147565733,0.0521386704193785,0.1723522295762096,,,,,,,,,,,,,
pricing,units_sold_window_7j,LightGBM_Monotone,0.1824419600588997,0.0069783948614917,0.7675350158538974,1.3158876967179218,0.0519317198171431,0.1818833246705007,,,,,,,,,,,,,
pricing,units_sold_window_7j,S_learner,0.1836792391290728,0.0088506017302255,0.7727617399493075,1.313900593308338,0.0522281873259441,0.1827485136999199,,,,,,,,,,,,,
pricing,units_sold_window_7j,LightGBM_Tweedie,0.1836792391290728,0.0088506017302255,0.7727617399493075,1.313900593308338,0.0522281873259441,0.1827485136999199,,,,,,,,,,,,,
pricing,units_sold_window_7j,CatBoost_Poisson,0.1839639982386055,0.0084017131966377,0.7737265101878835,1.2910127208843234,0.0604972759313624,0.1837542418484073,,,,,,,,,,,,,
pricing,units_sold_window_7j,LightGBM_Poisson,0.2019497011285548,0.007892848463616,0.8493673951875657,1.3765198791112798,0.0575034121592314,0.201217778672767,,,,,,,,,,,,,
