domain,target,model,recall@5_mean,recall@10_mean,recall@20_mean,ndcg@5_mean,ndcg@10_mean,ndcg@20_mean,hitrate@10_mean,mrr_mean,map@10_mean,coverage_catalogue_mean,diversite_mean,nouveaute_mean,concentration_top10_mean
recommendation,viewed_after_impression,CatBoostRanker,0.019310336523124715,0.019310336523124715,0.019310336523124715,0.011944419020915014,0.011944419020915014,0.011944419020915014,0.019310336523124715,0.009546841022338373,0.009542473005631361,0.41586538461538464,0.011189123005138175,7.620173339506188,0.776695973929947
recommendation,viewed_after_impression,XGBoost_Ranker,0.019310336523124715,0.019310336523124715,0.019310336523124715,0.011847412877169144,0.011847412877169144,0.011847412877169144,0.019310336523124715,0.009433514485586348,0.009420113742274956,0.4050480769230769,0.01091307825026092,7.643430820075153,0.7700724928134693
recommendation,viewed_after_impression,pointwise_conversion,0.019310336523124715,0.019310336523124715,0.019310336523124715,0.011775649163913535,0.011775649163913535,0.011775649163913535,0.019310336523124715,0.00933043272232709,0.00932395524900411,0.4387019230769231,0.01180948150135551,7.54193870043424,0.7759410455689386
recommendation,viewed_after_impression,popularite_recente,0.019310336523124715,0.019310336523124715,0.019310336523124715,0.011638041415494144,0.011638041415494144,0.011638041415494144,0.019310336523124715,0.009150376886396958,0.009136092780408311,0.25841346153846156,0.006960039095552846,5.854981773427377,0.9037037856257824
recommendation,viewed_after_impression,hybride_popularite_affinite,0.019310336523124715,0.019310336523124715,0.019310336523124715,0.01161622366842164,0.01161622366842164,0.01161622366842164,0.019310336523124715,0.00910909252636797,0.009119648737121051,0.1658653846153846,0.004465212969232799,4.364466028830101,0.9257606963077892
recommendation,viewed_after_impression,LightGBM_LambdaRank,0.019310336523124715,0.019310336523124715,0.019310336523124715,0.011534883180631408,0.011534883180631408,0.011534883180631408,0.019310336523124715,0.00900549374584228,0.009002762926253804,0.4375,0.011777945651517975,7.790288065459979,0.7719119415863607
recommendation,viewed_after_impression,cooccurrence,0.019310336523124715,0.019310336523124715,0.019310336523124715,0.011489699542747407,0.011489699542747407,0.011489699542747407,0.019310336523124715,0.008948939872718602,0.008947813294556309,0.3377403846153846,0.009121278917200562,4.6553470158373305,0.8865866193927016
recommendation,viewed_after_impression,RRF,0.019310336523124715,0.019310336523124715,0.019310336523124715,0.011340799929969374,0.011340799929969374,0.011340799929969374,0.019310336523124715,0.008747631368881612,0.00875146517924283,0.2536057692307692,0.006846781266759534,4.455491866664355,0.9186558996730582
recommendation,viewed_after_impression,popularite_globale_v1,0.019310336523124715,0.019310336523124715,0.019310336523124715,0.011313828353160684,0.011313828353160684,0.011313828353160684,0.019310336523124715,0.008713474950981917,0.00871526907004847,0.15745192307692307,0.004238499235777652,4.30256249054397,0.9452594611275968
recommendation,viewed_after_impression,popularite_categorie,0.019310336523124715,0.019310336523124715,0.019310336523124715,0.011275762154264337,0.011275762154264337,0.011275762154264337,0.019310336523124715,0.008675365210232695,0.008670408418174923,0.21153846153846154,0.005710762331799976,6.506340184945955,0.9275797232710253
recommendation,added_to_cart_after,pointwise_conversion,0.022515158502069695,0.022515158502069695,0.022515158502069695,0.014375578516147822,0.014375578516147822,0.014375578516147822,0.022515158502069695,0.011735088247414201,0.011694952870094042,0.4423076923076923,0.011913556162442595,8.627598137196799,0.7714790570749195
recommendation,added_to_cart_after,XGBoost_Ranker,0.022515158502069695,0.022515158502069695,0.022515158502069695,0.0143754116980659,0.0143754116980659,0.0143754116980659,0.022515158502069695,0.011709225373072127,0.01170377313169946,0.4254807692307692,0.011459229992380509,8.16629307366623,0.8188254140649098
recommendation,added_to_cart_after,CatBoostRanker,0.022515158502069695,0.022515158502069695,0.022515158502069695,0.014289352069501054,0.014289352069501054,0.014289352069501054,0.022515158502069695,0.01159611768651776,0.01158114240493156,0.4326923076923077,0.011669984938384965,7.838754080374675,0.7686956843234142
recommendation,added_to_cart_after,popularite_recente,0.022515158502069695,0.022515158502069695,0.022515158502069695,0.014203159724613315,0.014203159724613315,0.014203159724613315,0.022515158502069695,0.011519771378061872,0.011458952733390208,0.25841346153846156,0.006960039095552846,5.854981773427377,0.9037037856257824
recommendation,added_to_cart_after,LightGBM_LambdaRank,0.022515158502069695,0.022515158502069695,0.022515158502069695,0.01416699546169374,0.01416699546169374,0.01416699546169374,0.022515158502069695,0.011443332679720994,0.011412655331894584,0.4362980769230769,0.01176207273206701,8.121248384006368,0.8040390132949431
recommendation,added_to_cart_after,hybride_popularite_affinite,0.022515158502069695,0.022515158502069695,0.022515158502069695,0.01375342822010036,0.01375342822010036,0.01375342822010036,0.022515158502069695,0.010901144975382235,0.010897819928907232,0.1658653846153846,0.004465212969232799,4.364466028830101,0.9257606963077892
recommendation,added_to_cart_after,popularite_categorie,0.022515158502069695,0.022515158502069695,0.022515158502069695,0.013646953105379013,0.013646953105379013,0.013646953105379013,0.022515158502069695,0.010790243402289698,0.010743463150718894,0.21153846153846154,0.005710762331799976,6.506340184945955,0.9275797232710253
recommendation,added_to_cart_after,RRF,0.022515158502069695,0.022515158502069695,0.022515158502069695,0.013536229213126074,0.013536229213126074,0.013536229213126074,0.022515158502069695,0.010623351342221332,0.010613488018804839,0.2536057692307692,0.006846781266759534,4.455491866664355,0.9186558996730582
recommendation,added_to_cart_after,popularite_globale_v1,0.022515158502069695,0.022515158502069695,0.022515158502069695,0.013348261569363487,0.013348261569363487,0.013348261569363487,0.022515158502069695,0.010369678888644788,0.010368389936998713,0.15745192307692307,0.004238499235777652,4.30256249054397,0.9452594611275968
recommendation,added_to_cart_after,cooccurrence,0.022515158502069695,0.022515158502069695,0.022515158502069695,0.013254291249224037,0.013254291249224037,0.013254291249224037,0.022515158502069695,0.010256315394350526,0.01024558325509779,0.3377403846153846,0.009121278917200562,4.6553470158373305,0.8865866193927016
recommendation,purchased_after,CatBoostRanker,0.01942240753445062,0.01942240753445062,0.01942240753445062,0.012575442955194647,0.012575442955194647,0.012575442955194647,0.01942240753445062,0.010338439120364251,0.010309943699459043,0.41586538461538464,0.011235397636697404,6.7346697957868775,0.7553533469721946
recommendation,purchased_after,XGBoost_Ranker,0.01942240753445062,0.01942240753445062,0.01942240753445062,0.01251090542296684,0.01251090542296684,0.01251090542296684,0.01942240753445062,0.010277351146462145,0.010223426805653106,0.4206730769230769,0.01132814246220706,7.545332923651441,0.7657532794635932
recommendation,purchased_after,pointwise_conversion,0.01942240753445062,0.01942240753445062,0.01942240753445062,0.012464909006883608,0.012464909006883608,0.012464909006883608,0.01942240753445062,0.010185503064252395,0.010164045465546667,0.4543269230769231,0.012249031083808952,7.445658330950329,0.7590249042103983
recommendation,purchased_after,popularite_recente,0.01942240753445062,0.01942240753445062,0.01942240753445062,0.01241318844767719,0.01241318844767719,0.01241318844767719,0.01942240753445062,0.010151675027846904,0.01009085638317524,0.25841346153846156,0.006960039095552846,5.854981773427377,0.9037037856257824
recommendation,purchased_after,LightGBM_LambdaRank,0.01942240753445062,0.01942240753445062,0.01942240753445062,0.012398596886111633,0.012398596886111633,0.012398596886111633,0.01942240753445062,0.010114952470597509,0.010069184453655487,0.4314903846153846,0.01163142405473028,7.834014287911724,0.755690232181239
recommendation,purchased_after,hybride_popularite_affinite,0.01942240753445062,0.01942240753445062,0.01942240753445062,0.011987626181645158,0.011987626181645158,0.011987626181645158,0.01942240753445062,0.00956250324228855,0.009559178195813546,0.1658653846153846,0.004465212969232799,4.364466028830101,0.9257606963077892
recommendation,purchased_after,popularite_categorie,0.01942240753445062,0.01942240753445062,0.01942240753445062,0.011824389291972598,0.011824389291972598,0.011824389291972598,0.01942240753445062,0.009375095301805818,0.009328315050235014,0.21153846153846154,0.005710762331799976,6.506340184945955,0.9275797232710253
