window,model,target,n_slates,recall@5,ndcg@5,hitrate@5,recall@10,ndcg@10,hitrate@10,recall@20,ndcg@20,hitrate@20,mrr,map@10,coverage_catalogue,diversite,nouveaute,concentration_top10,train_seconds,peak_memory_mb
1,popularite_globale_v1,viewed_after_impression,7133,0.019627085377821395,0.011557517428613816,0.019627085377821395,0.019627085377821395,0.011557517428613816,0.019627085377821395,0.019627085377821395,0.011557517428613816,0.019627085377821395,0.008946679751390251,0.00892331417355951,0.14423076923076922,0.004205804009533156,4.296718115509516,0.9650918267208748,0.0,30.586
1,popularite_recente,viewed_after_impression,7133,0.019627085377821395,0.012021973145366687,0.019627085377821395,0.019627085377821395,0.012021973145366687,0.019627085377821395,0.019627085377821395,0.012021973145366687,0.019627085377821395,0.00958689658395252,0.009544838543857188,0.25,0.007290060283190803,6.179860415817916,0.929342492639843,0.0,30.586
1,popularite_categorie,viewed_after_impression,7133,0.019627085377821395,0.011192680086896795,0.019627085377821395,0.019627085377821395,0.011192680086896795,0.019627085377821395,0.019627085377821395,0.011192680086896795,0.019627085377821395,0.008463012290293939,0.00847469507920931,0.21634615384615385,0.006308706014299734,7.106045279619449,0.9439226132062246,0.0098,30.586
1,cooccurrence,viewed_after_impression,7133,0.019627085377821395,0.01190196619172117,0.019627085377821395,0.019627085377821395,0.01190196619172117,0.019627085377821395,0.019627085377821395,0.01190196619172117,0.019627085377821395,0.00941632786578812,0.00938127949904201,0.35096153846153844,0.010234123089864012,4.933141501705842,0.8955558670965933,1.2768,30.586
1,hybride_popularite_affinite,viewed_after_impression,7133,0.019627085377821395,0.012106003689418847,0.019627085377821395,0.019627085377821395,0.012106003689418847,0.019627085377821395,0.019627085377821395,0.012106003689418847,0.019627085377821395,0.009647647086312444,0.009659329875227815,0.14903846153846154,0.004345997476517594,4.446457645122326,0.9384550679938315,0.0,30.586
1,LightGBM_LambdaRank,viewed_after_impression,7133,0.019627085377821395,0.011481783589681242,0.019627085377821395,0.019627085377821395,0.011481783589681242,0.019627085377821395,0.019627085377821395,0.011481783589681242,0.019627085377821395,0.008806486284405814,0.008818169073321183,0.3894230769230769,0.01135567082573952,8.15584603663519,0.8697602691714567,1.1841,30.586
1,CatBoostRanker,viewed_after_impression,7133,0.019627085377821395,0.011979530927229953,0.019627085377821395,0.019627085377821395,0.011979530927229953,0.019627085377821395,0.019627085377821395,0.011979530927229953,0.019627085377821395,0.009470068694798823,0.009481751483714192,0.3605769230769231,0.01051451002383289,8.172366368003393,0.8365344174961447,9.2507,30.586
1,XGBoost_Ranker,viewed_after_impression,7133,0.019627085377821395,0.011947552536375286,0.019627085377821395,0.019627085377821395,0.011947552536375286,0.019627085377821395,0.019627085377821395,0.011947552536375286,0.019627085377821395,0.009446703116968082,0.009458385905883453,0.38461538461538464,0.011215477358755083,8.31119743893479,0.8248983597364363,1.9113,30.586
1,pointwise_conversion,viewed_after_impression,7133,0.019627085377821395,0.01218272767922165,0.019627085377821395,0.019627085377821395,0.01218272767922165,0.019627085377821395,0.019627085377821395,0.01218272767922165,0.019627085377821395,0.00973877283985233,0.009750455628767698,0.38461538461538464,0.011215477358755083,8.19370471332194,0.8358334501612225,0.8054,30.586
1,RRF,viewed_after_impression,7133,0.019627085377821395,0.011455744605667643,0.019627085377821395,0.019627085377821395,0.011455744605667643,0.019627085377821395,0.019627085377821395,0.011455744605667643,0.019627085377821395,0.008801813168839665,0.008801813168839665,0.2692307692307692,0.007850834151128557,4.586613685881461,0.9282209449039674,0.0,30.586
2,popularite_globale_v1,viewed_after_impression,8220,0.019464720194647202,0.011178376737664735,0.019464720194647202,0.019464720194647202,0.011178376737664735,0.019464720194647202,0.019464720194647202,0.011178376737664735,0.019464720194647202,0.008491484184914841,0.008500608272506083,0.15865384615384615,0.0040145985401459855,4.200264705389172,0.9396593673965937,0.0,46.666
2,popularite_recente,viewed_after_impression,8220,0.019464720194647202,0.011223751645112039,0.019464720194647202,0.019464720194647202,0.011223751645112039,0.019464720194647202,0.019464720194647202,0.011223751645112039,0.019464720194647202,0.00855839416058394,0.008521897810218977,0.2644230769230769,0.006690997566909975,6.273421118775781,0.9054744525547446,0.0,46.666
2,popularite_categorie,viewed_after_impression,8220,0.019464720194647202,0.01125226893487084,0.019464720194647202,0.019464720194647202,0.01125226893487084,0.019464720194647202,0.019464720194647202,0.01125226893487084,0.019464720194647202,0.008586780210867801,0.008586780210867801,0.20192307692307693,0.0051094890510948905,6.886029678488476,0.9295620437956205,0.0154,46.666
2,cooccurrence,viewed_after_impression,8220,0.019464720194647202,0.0112947880184076,0.019464720194647202,0.019464720194647202,0.0112947880184076,0.019464720194647202,0.019464720194647202,0.0112947880184076,0.019464720194647202,0.008639497161394971,0.008648621248986212,0.34615384615384615,0.008759124087591242,4.5083130232863216,0.8603406326034063,1.681,46.666
2,hybride_popularite_affinite,viewed_after_impression,8220,0.019464720194647202,0.011439491581233465,0.019464720194647202,0.019464720194647202,0.011439491581233465,0.019464720194647202,0.019464720194647202,0.011439491581233465,0.019464720194647202,0.008836171938361718,0.008845296025952961,0.16346153846153846,0.00413625304136253,4.319108654189482,0.9021897810218978,0.0,46.666
