window,experiment_group,target,n_slates,recall@5,ndcg@5,hitrate@5,recall@10,ndcg@10,hitrate@10,recall@20,ndcg@20,hitrate@20,mrr,map@10
1,controle,viewed_after_impression,3594,0.019476905954368393,0.011737574766041725,0.019476905954368393,0.019476905954368393,0.011737574766041725,0.019476905954368393,0.019476905954368393,0.011737574766041725,0.019476905954368393,0.009246892969764423,0.009246892969764423
1,traitement,viewed_after_impression,3539,0.019779598756710936,0.011745186437177145,0.019779598756710936,0.019779598756710936,0.011745186437177145,0.019779598756710936,0.019779598756710936,0.011745186437177145,0.019779598756710936,0.009183385137044362,0.009112743712913252
2,controle,viewed_after_impression,4185,0.021027479091995222,0.01232299223386751,0.021027479091995222,0.021027479091995222,0.01232299223386751,0.021027479091995222,0.021027479091995222,0.01232299223386751,0.021027479091995222,0.009506172839506173,0.009524093986459578
2,traitement,viewed_after_impression,4035,0.017843866171003718,0.01015082431803136,0.017843866171003718,0.017843866171003718,0.01015082431803136,0.017843866171003718,0.017843866171003718,0.01015082431803136,0.017843866171003718,0.007641470466749276,0.007641470466749276
3,controle,viewed_after_impression,3919,0.01964786935442715,0.012188247899495472,0.01964786935442715,0.01964786935442715,0.012188247899495472,0.01964786935442715,0.01964786935442715,0.012188247899495472,0.01964786935442715,0.009760142893595305,0.009760142893595305
3,traitement,viewed_after_impression,3716,0.01829924650161464,0.01043630717532268,0.01829924650161464,0.01829924650161464,0.01043630717532268,0.01829924650161464,0.01829924650161464,0.01043630717532268,0.01829924650161464,0.007889307499102978,0.007889307499102978
4,controle,viewed_after_impression,4008,0.020209580838323353,0.011933853544992148,0.020209580838323353,0.020209580838323353,0.011933853544992148,0.020209580838323353,0.020209580838323353,0.011933853544992148,0.020209580838323353,0.009219061876247506,0.00923985362608117
4,traitement,viewed_after_impression,3926,0.018084564442180335,0.010950348564972191,0.018084564442180335,0.018084564442180335,0.010950348564972191,0.018084564442180335,0.018084564442180335,0.010950348564972191,0.018084564442180335,0.008643233146544404,0.008643233146544404
