window,model,recall@5,ndcg@5,recall@10,ndcg@10,recall@20,ndcg@20,mrr,coverage_catalogue,n_targets
2,association_lift,0.018733608092918696,0.010872711243751956,0.040464593480704386,0.0178170009255396,0.08692394155114275,0.029375556244872824,0.01418654830679226,0.6233333333333333,5338
2,bm25_panier,0.03091045335331585,0.01743233570610579,0.05732484076433121,0.02586056839430987,0.10603222180591983,0.03800345187407692,0.01972931914390114,0.6233333333333333,5338
2,cooccurrence_item_item,0.03222180591982016,0.01872661160419223,0.06294492319220682,0.028525195709327225,0.12083177219932559,0.04311683079924529,0.022253267740193653,0.5666666666666667,5338
2,popularite_categorie_contexte,0.03390783064818284,0.02053603423835095,0.06257025103034844,0.029606511161505523,0.11371300112401649,0.0423896792083052,0.023271045399750216,0.32,5338
2,popularite_globale,0.036530535781191455,0.020861075636183033,0.07306107156238291,0.03217024202525799,0.1393780442113151,0.04869903926043023,0.02443955453448695,0.043333333333333335,5338
2,rrf_contexte,0.03222180591982016,0.019227815249532543,0.06444361183964031,0.029485397365499107,0.12289246908954665,0.04419710851210126,0.023118829073709497,0.5533333333333333,5338
3,association_lift,0.02098164106406894,0.011930038775339897,0.03934057699512926,0.017803318794075467,0.07811914574747096,0.027470320248678286,0.013970487314411709,0.7666666666666667,5338
3,bm25_panier,0.02529037092544024,0.013979199474637502,0.049456725365305355,0.02179971852741364,0.09366804046459348,0.03285558246728904,0.01650266617689424,0.7566666666666667,5338
3,cooccurrence_item_item,0.02772573997751967,0.015181310025257048,0.054140127388535034,0.0235952548906947,0.10509554140127389,0.036349029918123915,0.017947004431090433,0.66,5338
3,popularite_categorie_contexte,0.027351067815661295,0.015975938846181443,0.0532034469838891,0.02433367090115319,0.09722742600224803,0.035352392236781736,0.018705797086452113,0.31666666666666665,5338
3,popularite_globale,0.03222180591982016,0.01594515875903576,0.04908205320344698,0.021186468306531727,0.10415886099662795,0.035129104237563005,0.0165358083398983,0.04,5338
3,rrf_contexte,0.02716373173473211,0.016124653186881256,0.05357811914574747,0.02462125935470675,0.1034095166729112,0.03711300648171918,0.019389008976088064,0.6133333333333333,5338
4,association_lift,0.013300861745972274,0.007758912429405153,0.029973772948669913,0.013127765792323604,0.0646309479205695,0.02174895768772546,0.01045257951746218,0.9233333333333333,5338
4,bm25_panier,0.02285500187336081,0.013354674516055235,0.04870738104158861,0.021490722369911876,0.08711127763207194,0.031123773909044923,0.016120026393895214,0.9133333333333333,5338
4,cooccurrence_item_item,0.02529037092544024,0.014758350868371335,0.04814537279880105,0.022125908455730214,0.09704008992131885,0.034397944972359165,0.01769522391800799,0.7566666666666667,5338
4,popularite_categorie_contexte,0.02341701011614837,0.014263732901801371,0.0473960284750843,0.022025836928119328,0.08636193330835519,0.031726328507753525,0.01708799402801719,0.32,5338
4,popularite_globale,0.026227051330086175,0.012895482316002606,0.044585987261146494,0.01863413066096294,0.09423004870738104,0.031069476674498973,0.014222246744268884,0.043333333333333335,5338
4,rrf_contexte,0.02716373173473211,0.015379210800212135,0.05114275009366804,0.023024343142975273,0.09647808167853128,0.03427884421058399,0.01763096912946203,0.7233333333333334,5338
