window,experiment_week_index,model,target,wape_micro,mae,rmse,forecast_bias,n,margin_error,mean_predicted_margin_xof,train_seconds,peak_memory_mb
1,59,baseline_moyenne_produit,units_sold_window_7j,0.15212180982373089,0.6896188712009134,1.1609728873241287,0.01468129898616886,225,0.16140566166676848,78993.17588776283,0.0033,8.942
1,59,baseline_mediane_produit,units_sold_window_7j,0.14558823529411766,0.66,1.1723670263379316,0.012254901960784314,225,0.15216368914802453,78982.51777777777,0.0094,8.942
1,59,GLM_Poisson,units_sold_window_7j,0.3370583848134485,1.5279980111543,2.1857181038592834,0.043112924702573684,225,0.29976427062175015,81514.48989698906,1.901,8.942
1,59,GLM_Tweedie,units_sold_window_7j,0.34310943338764754,1.5554294313573354,2.2460668356552707,0.0442472324916868,225,0.3066775801947416,83113.87510284423,0.0545,8.942
1,59,LightGBM_Poisson,units_sold_window_7j,0.20556303679375543,0.9318857667983579,1.4569643608259135,0.057074659941649585,225,0.2061154673580639,82445.91405449947,0.4054,8.942
1,59,LightGBM_Tweedie,units_sold_window_7j,0.1885207890243712,0.8546275769104827,1.4218996273508326,0.05287704409861775,225,0.19271819524214973,81983.90213447313,0.3966,8.942
1,59,LightGBM_L1,units_sold_window_7j,0.21037236979649748,0.9536880764107887,1.51626321585343,0.0908295028484193,225,0.2110130980057017,85440.32948688488,0.4103,8.942
1,59,LightGBM_Monotone,units_sold_window_7j,0.19028882430046282,0.8626426701620982,1.4314781704768476,0.057920971217583425,225,0.1915133541787149,82741.90449227103,0.4706,8.942
1,59,CatBoost_Poisson,units_sold_window_7j,0.1908033942840143,0.8649753874208648,1.370091905713134,0.06578217550770822,225,0.19814385640805593,82628.49671939242,1.7399,8.942
1,59,Hurdle_zero_positif,units_sold_window_7j,0.1801735653427047,0.8167868295535946,1.3406521904011726,0.05600007551637652,225,0.19344035423610506,83031.0718288276,0.6282,8.942
1,59,S_learner,units_sold_window_7j,0.1885207890243712,0.8546275769104827,1.4218996273508326,0.05287704409861775,225,0.19271819524214973,81983.90213447313,0.3861,8.942
1,59,T_learner,units_sold_window_7j,0.1678047406380631,0.7607148242258861,1.26068867912362,0.030851964177265323,225,0.1671666778997457,80952.67083229314,0.7728,8.942
1,59,Ensemble_contraint,units_sold_window_7j,0.17646939533296366,0.7999945921761019,1.308548331186181,0.048257670303741756,225,0.18031766465051507,82241.88238446391,0.0,8.942
2,60,baseline_moyenne_produit,units_sold_window_7j,0.1561672360141327,0.6735212589122339,1.1915322702624485,0.014672409260780473,195,0.16528672801437322,82815.36186295823,0.0036,10.124
2,60,baseline_mediane_produit,units_sold_window_7j,0.15338882282996433,0.6615384615384615,1.221600463452635,0.011890606420927468,195,0.16106839456239694,82710.79743589743,0.0046,10.124
2,60,GLM_Poisson,units_sold_window_7j,0.33946321732360224,1.4640439270212795,2.2319102339187715,0.06808719989953813,195,0.30225478594252475,87776.35091617925,0.0542,10.124
2,60,GLM_Tweedie,units_sold_window_7j,0.345836883417478,1.4915324048928154,2.289162292274488,0.06905045018779604,195,0.3181580034348943,89475.38206948094,0.048,10.124
2,60,LightGBM_Poisson,units_sold_window_7j,0.20846053972960613,0.8990528918594808,1.4288223390527799,0.05569821506215258,195,0.17626169316545848,87062.51883935224,0.3914,10.124
2,60,LightGBM_Tweedie,units_sold_window_7j,0.19275707959429836,0.8313266868656662,1.3545472388422526,0.049709658204171836,195,0.16727365058405683,86825.22074740785,0.3679,10.124
2,60,LightGBM_L1,units_sold_window_7j,0.20977111889580782,0.9047051845711506,1.5313050423617207,0.06687630705064919,195,0.17997547178318668,87902.0394754584,0.3757,10.124
